LABEL	MESSAGES
spam	You have been selected for a special discount. Buy now!
spam	Claim your lottery winnings now. Just send us your details.
ham	Claim your lottery winnings now. Just send us your details.
spam	Hey, are you coming to the party tonight?
ham	Are we still on for the weekend trip?
ham	Hey, are you coming to the party tonight?
ham	Click the link to get 50% off on your next purchase.
ham	Exclusive offer! Buy one get one free on all items.
ham	Hey, are you coming to the party tonight?
ham	Click the link to get 50% off on your next purchase.
spam	Win a free vacation! Just sign up here.
ham	You have been selected for a special discount. Buy now!
spam	Hey, are you coming to the party tonight?
spam	Click the link to get 50% off on your next purchase.
spam	Click the link to get 50% off on your next purchase.
ham	Hey, don't forget about our meeting at 3 PM.
ham	Can you send me the report by EOD?
ham	I'm running late, will be there in 10 minutes.
spam	Exclusive offer! Buy one get one free on all items.
ham	Win a free vacation! Just sign up here.
spam	Click the link to get 50% off on your next purchase.
spam	Exclusive offer! Buy one get one free on all items.
spam	Congratulations! You've won a free iPhone. Click here to claim your prize.
spam	Let's meet for coffee tomorrow.
spam	You have been selected for a special discount. Buy now!
spam	Your appointment is confirmed for Monday at 10 AM.
spam	Earn $5000 per week from home! Sign up today.
ham	Hey, don't forget about our meeting at 3 PM.
spam	Win a free vacation! Just sign up here.
ham	I'm running late, will be there in 10 minutes.
ham	Your appointment is confirmed for Monday at 10 AM.
ham	Congratulations! You've won a free iPhone. Click here to claim your prize.
spam	Earn $5000 per week from home! Sign up today.
spam	Exclusive offer! Buy one get one free on all items.
ham	Exclusive offer! Buy one get one free on all items.
spam	Click the link to get 50% off on your next purchase.
spam	Win a free vacation! Just sign up here.
ham	Hey, don't forget about our meeting at 3 PM.
ham	I'm running late, will be there in 10 minutes.
ham	Exclusive offer! Buy one get one free on all items.
spam	Hey, are you coming to the party tonight?
spam	Click the link to get 50% off on your next purchase.
spam	Claim your lottery winnings now. Just send us your details.
ham	Hey, are you coming to the party tonight?
spam	Claim your lottery winnings now. Just send us your details.
ham	I'm running late, will be there in 10 minutes.
ham	Hey, don't forget about our meeting at 3 PM.
spam	Earn $5000 per week from home! Sign up today.
spam	Click the link to get 50% off on your next purchase.
spam	Win a free vacation! Just sign up here.
spam	Your appointment is confirmed for Monday at 10 AM.
ham	Exclusive offer! Buy one get one free on all items.
spam	Congratulations! You've won a free iPhone. Click here to claim your prize.
spam	Hey, are you coming to the party tonight?
spam	Congratulations! You've won a free iPhone. Click here to claim your prize.
spam	Congratulations! You've won a free iPhone. Click here to claim your prize.
spam	Reminder: Your electricity bill is due tomorrow.
spam	Earn $5000 per week from home! Sign up today.
ham	Click the link to get 50% off on your next purchase.
spam	Are we still on for the weekend trip?
spam	Can you send me the report by EOD?
ham	Win a free vacation! Just sign up here.
spam	Are we still on for the weekend trip?
ham	I'm running late, will be there in 10 minutes.
ham	Congratulations! You've won a free iPhone. Click here to claim your prize.
spam	Reminder: Your electricity bill is due tomorrow.
ham	Your appointment is confirmed for Monday at 10 AM.
spam	Exclusive offer! Buy one get one free on all items.
spam	Reminder: Your electricity bill is due tomorrow.
ham	Let's meet for coffee tomorrow.
ham	Let's meet for coffee tomorrow.
spam	Can you send me the report by EOD?
spam	Win a free vacation! Just sign up here.
ham	Can you send me the report by EOD?
spam	Hey, don't forget about our meeting at 3 PM.
ham	You have been selected for a special discount. Buy now!
spam	You have been selected for a special discount. Buy now!
ham	You have been selected for a special discount. Buy now!
ham	Hey, don't forget about our meeting at 3 PM.
spam	Let's meet for coffee tomorrow.
spam	Reminder: Your electricity bill is due tomorrow.
ham	Congratulations! You've won a free iPhone. Click here to claim your prize.
spam	You have been selected for a special discount. Buy now!
ham	Hey, are you coming to the party tonight?
ham	Win a free vacation! Just sign up here.
ham	Can you send me the report by EOD?
spam	You have been selected for a special discount. Buy now!
spam	Are we still on for the weekend trip?
spam	Reminder: Your electricity bill is due tomorrow.
ham	Claim your lottery winnings now. Just send us your details.
ham	Reminder: Your electricity bill is due tomorrow.
spam	Exclusive offer! Buy one get one free on all items.
spam	Hey, don't forget about our meeting at 3 PM.
spam	Earn $5000 per week from home! Sign up today.
spam	Win a free vacation! Just sign up here.
spam	Click the link to get 50% off on your next purchase.
ham	Congratulations! You've won a free iPhone. Click here to claim your prize.
spam	Hey, are you coming to the party tonight?
ham	Can you send me the report by EOD?
ham	Click the link to get 50% off on your next purchase.
ham	Hey, are you coming to the party tonight?
spam	Are we still on for the weekend trip?
spam	Exclusive offer! Buy one get one free on all items.
ham	Reminder: Your electricity bill is due tomorrow.
ham	Are we still on for the weekend trip?
ham	Claim your lottery winnings now. Just send us your details.
spam	Click the link to get 50% off on your next purchase.
ham	Earn $5000 per week from home! Sign up today.
ham	You have been selected for a special discount. Buy now!
ham	Congratulations! You've won a free iPhone. Click here to claim your prize.
ham	Can you send me the report by EOD?
spam	Let's meet for coffee tomorrow.
spam	Congratulations! You've won a free iPhone. Click here to claim your prize.
ham	Hey, don't forget about our meeting at 3 PM.
ham	Earn $5000 per week from home! Sign up today.
ham	Are we still on for the weekend trip?
ham	Exclusive offer! Buy one get one free on all items.
spam	Claim your lottery winnings now. Just send us your details.
spam	Exclusive offer! Buy one get one free on all items.
spam	Are we still on for the weekend trip?
spam	Let's meet for coffee tomorrow.
ham	Win a free vacation! Just sign up here.
spam	Exclusive offer! Buy one get one free on all items.
spam	Claim your lottery winnings now. Just send us your details.
ham	Can you send me the report by EOD?
spam	I'm running late, will be there in 10 minutes.
spam	Hey, are you coming to the party tonight?
spam	Can you send me the report by EOD?
ham	Reminder: Your electricity bill is due tomorrow.
ham	Earn $5000 per week from home! Sign up today.
spam	Earn $5000 per week from home! Sign up today.
ham	Hey, are you coming to the party tonight?
spam	You have been selected for a special discount. Buy now!
spam	Exclusive offer! Buy one get one free on all items.
spam	Exclusive offer! Buy one get one free on all items.
spam	Exclusive offer! Buy one get one free on all items.
ham	Let's meet for coffee tomorrow.
spam	Reminder: Your electricity bill is due tomorrow.
ham	Hey, don't forget about our meeting at 3 PM.
spam	You have been selected for a special discount. Buy now!
ham	Reminder: Your electricity bill is due tomorrow.
ham	You have been selected for a special discount. Buy now!
spam	You have been selected for a special discount. Buy now!
ham	Win a free vacation! Just sign up here.
ham	I'm running late, will be there in 10 minutes.
spam	Congratulations! You've won a free iPhone. Click here to claim your prize.
ham	Claim your lottery winnings now. Just send us your details.
spam	Hey, don't forget about our meeting at 3 PM.
spam	Claim your lottery winnings now. Just send us your details.
